"ech","type","date","parcelle","trt","block","sub_ech","poids","vol_saline","Filtre","temoin","run","Plaque_PCR","rep_seq","rep_run","pseudo_count","bact_count","pseudo_rawcount","bact_rawcount","dil_rif","count_rif","dil_tsa","X"
"P147","P147","Seigle","Date 3","3","Seigle_Vert",1,3,8.34,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P148","P148","Seigle","Date 3","8","Seigle_Vert",2,1,11.1,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P149","P149","Seigle","Date 3","8","Seigle_Vert",2,2,9.15,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P150","P150","Seigle","Date 3","8","Seigle_Vert",2,3,15.72,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P151","P151","Seigle","Date 3","10","Seigle_Vert",3,1,8.58,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P152","P152","Seigle","Date 3","10","Seigle_Vert",3,2,7.78,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P153","P153","Seigle","Date 3","10","Seigle_Vert",3,3,7.35,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P154","P154","Seigle","Date 3","15","Seigle_Vert",4,1,11.47,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P155","P155","Seigle","Date 3","15","Seigle_Vert",4,2,9.12,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P156","P156","Seigle","Date 3","15","Seigle_Vert",4,3,6.56,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P157","P157","Seigle","Date 3","18","Seigle_Vert",5,1,7.03,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P158","P158","Seigle","Date 3","18","Seigle_Vert",5,2,8.64,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P159","P159","Seigle","Date 3","18","Seigle_Vert",5,3,10.74,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P160","P160","Seigle","Date 3","24","Seigle_Vert",6,1,16.9,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P161","P161","Seigle","Date 3","24","Seigle_Vert",6,2,15.27,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P162","P162","Seigle","Date 3","24","Seigle_Vert",6,3,12.9,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","C1","Courge","Date 1","1","Sol_nu",1,1,19.53,"110",NA,NA,1,"1",NA,NA,5.79,3.75,619560,5632,0.01,11,0.01,0.1
"C2.1","C2.1","Courge","Date 1","1","Sol_nu",1,2,25.67,"110",NA,NA,1,"1","1",NA,5.63,5.48,428516,299961,0.01,10,0.01,7
